epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1518.71,1.44223,0.8566,0.93503,0.8914,0.87147,0.89816,0.55383,1.25299,0.71668,0.88189,0.0700302,0.00332998,0.00332998
2,2508.37,1.24172,0.60292,0.87663,0.88753,0.88164,0.90014,0.57791,1.20033,0.70885,0.87295,0.0387108,0.00534398,0.00534398
3,3575.74,1.18115,0.56261,0.86614,0.88937,0.86508,0.90012,0.58402,1.17579,0.69093,0.8678,0.00607148,0.00603798,0.00603798
4,6544.34,1.10287,0.5228,0.85231,0.84914,0.87564,0.89566,0.59371,1.15339,0.71393,0.86669,0.00406,0.00406,0.00406
5,9176.34,1.01594,0.47747,0.83892,0.89525,0.87574,0.8979,0.6094,1.11194,0.65992,0.85175,0.00208,0.00208,0.00208
