epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,45023.8,1.52316,0.79073,1.12422,0.80387,0.4633,0.55499,0.31172,1.53174,0.71142,1.20784,0.005842,0.005842,0.005842
44,46081.3,1.52288,0.78811,1.1215,0.80698,0.46283,0.55575,0.31238,1.53014,0.70973,1.20912,0.005743,0.005743,0.005743
45,47142,1.5188,0.7868,1.12078,0.80666,0.4626,0.55728,0.31331,1.52855,0.70821,1.20949,0.005644,0.005644,0.005644
46,48199.8,1.51382,0.78386,1.12077,0.8063,0.46403,0.55799,0.31405,1.52846,0.7064,1.21135,0.005545,0.005545,0.005545
47,49259.3,1.51575,0.78334,1.12029,0.80774,0.46347,0.55772,0.31408,1.5267,0.70583,1.20976,0.005446,0.005446,0.005446
48,50314.2,1.50752,0.78087,1.11614,0.80731,0.46489,0.5582,0.31392,1.52556,0.70491,1.20807,0.005347,0.005347,0.005347
49,51310.3,1.50629,0.78032,1.11713,0.8068,0.46529,0.55832,0.31479,1.52356,0.70353,1.20742,0.005248,0.005248,0.005248
50,52309.2,1.5011,0.77936,1.11581,0.80682,0.46577,0.55929,0.31513,1.52234,0.7025,1.20756,0.005149,0.005149,0.005149
51,53363.5,1.50187,0.77513,1.11556,0.80756,0.46608,0.56006,0.31617,1.52091,0.70123,1.20785,0.00505,0.00505,0.00505
52,54345.1,1.49775,0.77413,1.11498,0.80929,0.46553,0.56005,0.31628,1.51955,0.69982,1.20723,0.004951,0.004951,0.004951
53,55393.6,1.4978,0.77502,1.11282,0.81104,0.46476,0.56019,0.31645,1.5183,0.69938,1.20791,0.004852,0.004852,0.004852
54,56446.1,1.49944,0.77396,1.11253,0.80998,0.46617,0.56053,0.3168,1.51679,0.69884,1.20799,0.004753,0.004753,0.004753
55,57504.2,1.49643,0.77337,1.11282,0.81123,0.46632,0.56119,0.31714,1.51619,0.69857,1.20849,0.004654,0.004654,0.004654
56,58550.8,1.49849,0.77355,1.11328,0.80987,0.46773,0.56165,0.31728,1.51551,0.69836,1.20714,0.004555,0.004555,0.004555
57,59601.4,1.49217,0.77008,1.11007,0.811,0.46746,0.56222,0.31792,1.5146,0.69719,1.20668,0.004456,0.004456,0.004456
58,60651.8,1.48811,0.76726,1.10958,0.81048,0.46786,0.56235,0.3182,1.51376,0.69657,1.20694,0.004357,0.004357,0.004357
59,61573.5,1.48437,0.76502,1.10845,0.8113,0.4679,0.56264,0.31832,1.51312,0.69566,1.20667,0.004258,0.004258,0.004258
60,61928.3,1.48416,0.76413,1.10651,0.81145,0.46807,0.56283,0.31852,1.51242,0.69487,1.2063,0.004159,0.004159,0.004159
61,62290,1.48261,0.7639,1.10734,0.81179,0.46809,0.56306,0.31878,1.51179,0.69435,1.20641,0.00406,0.00406,0.00406
62,63353.8,1.48125,0.76134,1.1055,0.81218,0.46837,0.56331,0.31907,1.51063,0.69346,1.20625,0.003961,0.003961,0.003961
63,64415.8,1.47319,0.75864,1.10259,0.81299,0.46862,0.56379,0.3193,1.50983,0.69276,1.20611,0.003862,0.003862,0.003862
64,65495.2,1.47532,0.75927,1.1024,0.81275,0.46901,0.56396,0.31949,1.5091,0.69222,1.20563,0.003763,0.003763,0.003763
65,66560.8,1.47011,0.75529,1.10189,0.81308,0.46948,0.5643,0.31975,1.50829,0.69178,1.20504,0.003664,0.003664,0.003664
66,67634.8,1.47249,0.75689,1.10184,0.81335,0.46972,0.56466,0.32023,1.50769,0.6912,1.20505,0.003565,0.003565,0.003565
