epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1303.42,0.9108,0.42396,0.82225,0.91242,0.90193,0.9182,0.63121,1.07806,0.60008,0.84737,0.0700302,0.00332998,0.00332998
2,2297.44,0.9204,0.43462,0.82397,0.90253,0.90227,0.91072,0.6309,1.07315,0.61318,0.84624,0.0396421,0.00627528,0.00627528
3,3288.74,0.95568,0.44879,0.82958,0.90589,0.90149,0.91708,0.63329,1.09459,0.61533,0.85451,0.00886584,0.00883233,0.00883233
4,6276.84,0.97982,0.45908,0.83285,0.91852,0.85739,0.90798,0.6201,1.10734,0.64514,0.85964,0.00825294,0.00825294,0.00825294
5,8419.69,0.95703,0.44941,0.83081,0.91732,0.88749,0.91252,0.60958,1.12657,0.62698,0.86083,0.00767059,0.00767059,0.00767059
6,9717.01,0.93709,0.43819,0.82816,0.88642,0.88867,0.90819,0.62059,1.10978,0.63367,0.85575,0.00708824,0.00708824,0.00708824
